timestamp,datetime,Active_App,Window_Title,Key_Rate,Mouse_Rate,Flow_State
1762511726.4207466,2025-11-07 10:35:26.420747042,N/A,N/A,0,0,-1
1762511731.4263575,2025-11-07 10:35:31.426357985,N/A,N/A,0,0,-1
1762511736.428424,2025-11-07 10:35:36.428424120,N/A,N/A,0,0,-1
1762511741.430822,2025-11-07 10:35:41.430822372,N/A,N/A,0,0,-1
1762511746.43276,2025-11-07 10:35:46.432760239,N/A,N/A,0,0,-1
1762511751.4347515,2025-11-07 10:35:51.434751987,N/A,N/A,0,0,-1
1762511756.4366515,2025-11-07 10:35:56.436652184,N/A,N/A,0,0,-1
1762511761.443398,2025-11-07 10:36:01.443398237,N/A,N/A,0,0,-1
1762511766.4456909,2025-11-07 10:36:06.445691824,N/A,N/A,0,0,-1
1762511771.4514053,2025-11-07 10:36:11.451405764,N/A,N/A,0,0,-1
1762511776.4536483,2025-11-07 10:36:16.453649521,N/A,N/A,0,0,-1
1762511781.4593837,2025-11-07 10:36:21.459384203,N/A,N/A,0,0,-1
1762511786.4612598,2025-11-07 10:36:26.461260796,N/A,N/A,0,0,-1
1762511791.4671948,2025-11-07 10:36:31.467196226,N/A,N/A,0,0,-1
1762511796.4731102,2025-11-07 10:36:36.473110437,N/A,N/A,0,0,-1
1762511801.475332,2025-11-07 10:36:41.475332260,N/A,N/A,0,0,-1
1762511806.4772668,2025-11-07 10:36:46.477267265,N/A,N/A,0,0,-1
1762511811.4792757,2025-11-07 10:36:51.479276180,N/A,N/A,0,0,-1
1762511816.4813714,2025-11-07 10:36:56.481371880,N/A,N/A,0,0,-1
1762511821.4836497,2025-11-07 10:37:01.483650208,N/A,N/A,0,0,-1
1762511826.486163,2025-11-07 10:37:06.486163378,N/A,N/A,0,0,-1
1762511831.4886925,2025-11-07 10:37:11.488692760,N/A,N/A,0,0,-1
1762511836.490658,2025-11-07 10:37:16.490658998,N/A,N/A,0,0,-1
1762511841.4929762,2025-11-07 10:37:21.492976665,N/A,N/A,0,0,-1
1762511846.4951882,2025-11-07 10:37:26.495190382,N/A,N/A,0,0,-1
1762511851.5015063,2025-11-07 10:37:31.501507282,N/A,N/A,0,0,-1
1762511856.5079925,2025-11-07 10:37:36.507993698,N/A,N/A,0,0,-1
1762511861.5143607,2025-11-07 10:37:41.514361619,N/A,N/A,0,0,-1
1762511866.5206597,2025-11-07 10:37:46.520660400,N/A,N/A,0,0,-1
1762511871.526157,2025-11-07 10:37:51.526157856,N/A,N/A,0,0,-1
1762511876.532075,2025-11-07 10:37:56.532076120,N/A,N/A,0,0,-1
1762511881.5367963,2025-11-07 10:38:01.536797523,N/A,N/A,0,0,-1
1762511886.5434961,2025-11-07 10:38:06.543497324,N/A,N/A,0,0,-1
1762511891.5504043,2025-11-07 10:38:11.550405264,N/A,N/A,0,0,-1
1762511896.5558748,2025-11-07 10:38:16.555875540,N/A,N/A,0,0,-1
1762511901.5581167,2025-11-07 10:38:21.558116913,N/A,N/A,0,0,-1
1762511906.560246,2025-11-07 10:38:26.560246706,N/A,N/A,0,0,-1
1762511911.5647051,2025-11-07 10:38:31.564706087,N/A,N/A,0,0,-1
1762511916.5715556,2025-11-07 10:38:36.571555853,N/A,N/A,0,0,-1
