timestamp,datetime,Active_App,Window_Title,Key_Rate,Mouse_Rate,Flow_State
1762512187,2025-11-07 10:43:07,N/A,N/A,0,1,0
1762512192,2025-11-07 10:43:12,N/A,N/A,0,2,1
1762512197,2025-11-07 10:43:17,N/A,N/A,0,0,0
1762512202,2025-11-07 10:43:22,N/A,N/A,0,8,1
1762512207,2025-11-07 10:43:27,N/A,N/A,0,0,0
1762512212,2025-11-07 10:43:32,N/A,N/A,0,0,1
1762512217,2025-11-07 10:43:37,N/A,N/A,0,0,0
1762512222,2025-11-07 10:43:42,N/A,N/A,0,1,1
1762512227,2025-11-07 10:43:47,N/A,N/A,12,0,0
1762512232,2025-11-07 10:43:52,N/A,N/A,10,0,1
1762512237,2025-11-07 10:43:57,N/A,N/A,8,0,0
1762512242,2025-11-07 10:44:02,N/A,N/A,1,0,1
1762512247,2025-11-07 10:44:07,N/A,N/A,6,1,0
1762512252,2025-11-07 10:44:12,N/A,N/A,0,8,1
1762512257,2025-11-07 10:44:17,N/A,N/A,0,13,0
1762512262,2025-11-07 10:44:22,N/A,N/A,0,8,1
1762512267,2025-11-07 10:44:27,N/A,N/A,0,1,0
1762512272,2025-11-07 10:44:32,N/A,N/A,2,1,1
1762512277,2025-11-07 10:44:37,N/A,N/A,8,0,0
1762512282,2025-11-07 10:44:42,N/A,N/A,3,0,1
1762512287,2025-11-07 10:44:47,N/A,N/A,6,0,0
1762512292,2025-11-07 10:44:52,N/A,N/A,6,0,1
1762512297,2025-11-07 10:44:57,N/A,N/A,21,0,0
1762512302,2025-11-07 10:45:02,N/A,N/A,25,0,1
1762512307,2025-11-07 10:45:07,N/A,N/A,20,0,0
1762512312,2025-11-07 10:45:12,N/A,N/A,6,0,1
1762512317,2025-11-07 10:45:17,N/A,N/A,0,2,0
1762512322,2025-11-07 10:45:22,N/A,N/A,0,6,1
1762512327,2025-11-07 10:45:27,N/A,N/A,0,3,0
1762512332,2025-11-07 10:45:32,N/A,N/A,0,15,1
1762512337,2025-11-07 10:45:37,N/A,N/A,0,0,0
1762512342,2025-11-07 10:45:42,N/A,N/A,0,7,1
1762512347,2025-11-07 10:45:47,N/A,N/A,0,7,0
1762512352,2025-11-07 10:45:52,N/A,N/A,0,0,1
1762512357,2025-11-07 10:45:57,N/A,N/A,0,0,0
1762512362,2025-11-07 10:46:02,N/A,N/A,0,1,1
1762512493,2025-11-07 10:48:13,N/A,N/A,0,0,0
1762512498,2025-11-07 10:48:18,N/A,N/A,2,1,1
1762512503,2025-11-07 10:48:23,N/A,N/A,4,2,0
1762512508,2025-11-07 10:48:28,N/A,N/A,15,0,1
1762512513,2025-11-07 10:48:33,N/A,N/A,26,0,0
1762512518,2025-11-07 10:48:38,N/A,N/A,22,0,1
1762512523,2025-11-07 10:48:43,N/A,N/A,18,0,0
1762512528,2025-11-07 10:48:48,N/A,N/A,23,0,1
1762512533,2025-11-07 10:48:53,N/A,N/A,22,0,0
1762512538,2025-11-07 10:48:58,N/A,N/A,8,0,1
1762512543,2025-11-07 10:49:03,N/A,N/A,0,0,0
1762512548,2025-11-07 10:49:08,N/A,N/A,0,3,1
1762512553,2025-11-07 10:49:13,N/A,N/A,0,0,0
1762512558,2025-11-07 10:49:18,N/A,N/A,0,0,1
1762512563,2025-11-07 10:49:23,N/A,N/A,0,0,0
1762512568,2025-11-07 10:49:28,N/A,N/A,0,0,1
1762512573,2025-11-07 10:49:33,N/A,N/A,0,0,0
1762512578,2025-11-07 10:49:38,N/A,N/A,0,4,1
1762512583,2025-11-07 10:49:43,N/A,N/A,0,4,0
1762512588,2025-11-07 10:49:48,N/A,N/A,0,0,1
1762512593,2025-11-07 10:49:53,N/A,N/A,0,5,0
1762512598,2025-11-07 10:49:58,N/A,N/A,0,2,1
1762512603,2025-11-07 10:50:03,N/A,N/A,0,0,0
1762512608,2025-11-07 10:50:08,N/A,N/A,0,0,1
1762512613,2025-11-07 10:50:13,N/A,N/A,0,0,0
1762512618,2025-11-07 10:50:18,N/A,N/A,0,0,1
1762512623,2025-11-07 10:50:23,N/A,N/A,0,3,0
1762512628,2025-11-07 10:50:28,N/A,N/A,5,1,1
1762512633,2025-11-07 10:50:33,N/A,N/A,2,3,0
1762512638,2025-11-07 10:50:38,N/A,N/A,0,3,1
1762512643,2025-11-07 10:50:43,N/A,N/A,0,1,0
1762512648,2025-11-07 10:50:48,N/A,N/A,0,3,1
1762512653,2025-11-07 10:50:53,N/A,N/A,0,0,0
1762512658,2025-11-07 10:50:58,N/A,N/A,0,2,1
1762512663,2025-11-07 10:51:03,N/A,N/A,0,3,0
1762512668,2025-11-07 10:51:08,N/A,N/A,4,3,1
1762512673,2025-11-07 10:51:13,N/A,N/A,2,18,0
1762512678,2025-11-07 10:51:18,N/A,N/A,0,4,1
1762512683,2025-11-07 10:51:23,N/A,N/A,4,1,0
1762512688,2025-11-07 10:51:28,N/A,N/A,2,0,1
1762512693,2025-11-07 10:51:33,N/A,N/A,1,0,0
1762512698,2025-11-07 10:51:38,N/A,N/A,12,0,1
1762512703,2025-11-07 10:51:43,N/A,N/A,8,0,0
1762512708,2025-11-07 10:51:48,N/A,N/A,7,0,1
1762512714,2025-11-07 10:51:54,N/A,N/A,0,0,0
1762512719,2025-11-07 10:51:59,N/A,N/A,0,0,1
1762512724,2025-11-07 10:52:04,N/A,N/A,0,0,0
1762512729,2025-11-07 10:52:09,N/A,N/A,0,0,1
1762512734,2025-11-07 10:52:14,N/A,N/A,0,0,0
1762512739,2025-11-07 10:52:19,N/A,N/A,0,0,1
1762512744,2025-11-07 10:52:24,N/A,N/A,0,0,0
1762512749,2025-11-07 10:52:29,N/A,N/A,0,0,1
1762512754,2025-11-07 10:52:34,N/A,N/A,0,0,0
1762512759,2025-11-07 10:52:39,N/A,N/A,0,0,1
1762512764,2025-11-07 10:52:44,N/A,N/A,0,0,0
1762512769,2025-11-07 10:52:49,N/A,N/A,0,0,1
1762512774,2025-11-07 10:52:54,N/A,N/A,0,0,0
1762512779,2025-11-07 10:52:59,N/A,N/A,0,1,1
1762512784,2025-11-07 10:53:04,N/A,N/A,3,3,0
1762512789,2025-11-07 10:53:09,N/A,N/A,2,0,1
1762512794,2025-11-07 10:53:14,N/A,N/A,0,2,0
1762512799,2025-11-07 10:53:19,N/A,N/A,3,0,1
1762512804,2025-11-07 10:53:24,N/A,N/A,3,0,0
1762512809,2025-11-07 10:53:29,N/A,N/A,6,0,1
1762512814,2025-11-07 10:53:34,N/A,N/A,11,0,0
1762512819,2025-11-07 10:53:39,N/A,N/A,6,1,1
1762512824,2025-11-07 10:53:44,N/A,N/A,8,0,0
1762512829,2025-11-07 10:53:49,N/A,N/A,15,0,1
1762512834,2025-11-07 10:53:54,N/A,N/A,22,0,0
1762512839,2025-11-07 10:53:59,N/A,N/A,2,3,1
1762512844,2025-11-07 10:54:04,N/A,N/A,3,0,0
1762512849,2025-11-07 10:54:09,N/A,N/A,0,3,1
1762512854,2025-11-07 10:54:14,N/A,N/A,0,4,0
1762512859,2025-11-07 10:54:19,N/A,N/A,0,14,1
1762512864,2025-11-07 10:54:24,N/A,N/A,3,1,0
1762512869,2025-11-07 10:54:29,N/A,N/A,0,1,1
1762512874,2025-11-07 10:54:34,N/A,N/A,0,5,0
1762512879,2025-11-07 10:54:39,N/A,N/A,0,11,1
1762512884,2025-11-07 10:54:44,N/A,N/A,0,9,0
1762512889,2025-11-07 10:54:49,N/A,N/A,0,0,1
1762512894,2025-11-07 10:54:54,N/A,N/A,0,1,0
