Timestamp,Active_App,Key_Rate,Mouse_Rate,Predicted_State,Confidence
2025-11-07 19:45:17,unknown.exe,7,1,Flow,0.576
2025-11-07 19:45:22,unknown.exe,8,0,Flow,0.56
2025-11-07 19:45:27,unknown.exe,6,0,Flow,0.761
2025-11-07 19:45:37,unknown.exe,23,0,Flow,0.725
2025-11-07 19:45:42,unknown.exe,23,0,Flow,0.725
2025-11-07 19:45:48,unknown.exe,21,0,Distracted,0.049
2025-11-07 19:45:53,unknown.exe,8,0,Flow,0.56
2025-11-07 19:45:58,unknown.exe,13,0,Flow,0.538
2025-11-07 19:46:18,unknown.exe,3,3,Distracted,0.187
2025-11-07 19:46:23,unknown.exe,3,0,Flow,0.655
2025-11-07 19:47:23,unknown.exe,5,0,Flow,0.687
2025-11-07 19:47:28,unknown.exe,5,1,Flow,0.697
2025-11-07 19:47:33,unknown.exe,15,1,Flow,0.637
2025-11-07 19:47:38,unknown.exe,22,0,Distracted,0.315
2025-11-07 19:47:43,unknown.exe,17,0,Distracted,0.12
2025-11-07 19:47:48,unknown.exe,17,0,Distracted,0.12
2025-11-07 19:47:53,unknown.exe,32,0,Flow,0.917
2025-11-07 19:47:58,unknown.exe,8,0,Flow,0.56
2025-11-07 19:48:28,unknown.exe,5,1,Flow,0.697
2025-11-07 19:48:33,unknown.exe,4,0,Flow,0.598
2025-11-07 19:48:38,unknown.exe,2,0,Flow,0.761
2025-11-07 19:48:43,unknown.exe,3,1,Distracted,0.112
2025-11-07 19:50:08,unknown.exe,4,1,Distracted,0.153
2025-11-07 19:50:13,unknown.exe,2,4,Flow,0.423
2025-11-07 19:50:28,unknown.exe,2,0,Flow,0.761
2025-11-07 19:51:13,unknown.exe,3,1,Distracted,0.112
2025-11-07 19:51:23,unknown.exe,2,0,Flow,0.761
2025-11-07 19:51:28,unknown.exe,17,0,Distracted,0.12
2025-11-07 19:51:33,unknown.exe,12,0,Flow,0.546
2025-11-07 19:51:38,unknown.exe,15,0,Flow,0.914
2025-11-07 19:51:44,unknown.exe,3,1,Distracted,0.112
2025-11-07 19:51:54,unknown.exe,3,2,Distracted,0.197
2025-11-07 19:51:59,unknown.exe,2,3,Flow,0.487
2025-11-07 19:52:39,unknown.exe,3,0,Flow,0.655
2025-11-07 19:52:44,unknown.exe,4,0,Flow,0.598
2025-11-07 19:52:59,unknown.exe,3,1,Distracted,0.112
2025-11-07 19:53:09,unknown.exe,2,0,Flow,0.761
2025-11-07 20:48:33,unknown.exe,3,8,Flow,0.559
2025-11-07 20:48:38,unknown.exe,7,0,Flow,0.889
2025-11-07 20:48:43,unknown.exe,3,2,Distracted,0.197
2025-11-07 20:48:53,unknown.exe,2,5,Flow,0.54
2025-11-07 20:49:03,unknown.exe,3,1,Distracted,0.112
2025-11-07 20:49:08,unknown.exe,3,1,Distracted,0.112
2025-11-07 20:49:18,unknown.exe,4,1,Distracted,0.153
2025-11-07 20:49:38,unknown.exe,2,5,Flow,0.54
2025-11-07 20:49:43,unknown.exe,4,1,Distracted,0.153
2025-11-07 20:49:48,unknown.exe,4,0,Flow,0.598
2025-11-07 20:49:58,unknown.exe,2,1,Flow,0.515
2025-11-07 20:50:03,unknown.exe,5,3,Flow,0.525
2025-11-07 20:50:08,unknown.exe,13,1,Flow,0.604
2025-11-07 20:50:13,unknown.exe,1,1,Flow,0.484
2025-11-07 20:50:18,unknown.exe,12,1,Flow,0.58
